Dimension,Dimension Label,Statement,Unhelpful Thoughts (CBT_Stage1),Unhelpful Thoughts Label,Challenge (CBT_Stage2),Challenge Label,Another Way (CBT_Stage3),Another Way Label
Coping skills to de-stress,32_coping,I don't know what are coping skills. I am not sure what is counted as coping skills. ,I don't know any coping skills and I'm not even sure what they are. Maybe I'm just not capable of managing stress effectively.,0,"Is it true that I don't have any coping skills, or is it more that I'm not aware of the skills I already use or could use? I might start to take notes on the skills I used when I am stressed or anxious?",0,"I recognized that I might already be using coping skills without being aware of them.  By starting to take notes on what I do when I'm stressed or anxious, I can identify and understand my current coping mechanisms. ",0
Exhibiting control over self-harming behavior,33_self_harm,"I've been feeling overwhelmed with stress at work and at home. Last night, after a particularly difficult day, I found myself scratching my arm with my nails, causing some redness and minor injury.",I can't handle my stress effectively. Hurting myself is the usual way I used to cope with these overwhelming feelings.,0,There are several ways to manage stress and emotional pain that are safer and more beneficial. Or I can try to cut my nails more often to prevent the injuries.,0,"I am going through a tough time, but there are healthier ways to cope with my stress. I should watch out my self-injuries behaviours.",0
Exhibiting control over self-harming behavior,33_self_harm,"Last week, after a major argument with my family, I felt so distressed and alone that I punched the walls as a way to escape my pain.",Hurting myself seriously might be the only option to escape these unbearable feelings.,1,I know hurting myself is not the good way of reliefing bad feelings. There are people who can help and strategies that can provide relief and hope. It's important to reach out for professional support immediately.,0,"I am experiencing extremely difficult emotions right now, but there are people who can help me through this. I don't have to face this alone.",0
Exhibiting control over self-harming behavior,33_self_harm,"Yes, I tried to hurt myself. My boyfriend just broke up with me. He deleted my contact information and blocked me. I cannot get in touch with him by any chance. I am hopeless. I love him so much. I feel it is the end of the world and I don't know how can I live without him. We have been with each other so long. And he just disappeared.",I can't live without him. My life has no meaning without this relationship.,0,"I don't know how to challenge myself. I feel I am dead, or at least a walking dead. I need someone help me to retrieve him.",1,I feel painful. If he comes back to me I can feel better.,1
Law-abiding,34_lawful,I have been arrested. I was drunk driving and got caught.,I tell myself that I probably won't be that unlucky and get caught. And I think that I can handle driving after having a few drinks.,0,Maybe it's not about getting unlucky or not and it's really about not drinking and driving. How do I know for sure that I drive properly after drinking?,0,I shouldn't drink and drive. Maybe tell a friend to watch me and enforce it.,0
Law-abiding,34_lawful,I got arrested because I had a fight with someone on the street. I punched the guy because he insulted me.,I had to punch him because he insulted me. It was the only way to defend my honor. I have to show my power.,1,I know it's illegal to fight. Fighting cause injuries for both parties. But I don't care.,1,No one can challenge my authority and damage my face. I don't allow anyone to insult me. Or I'll give him a taste of my fist. ,1
Managing legal issue,35_legal,I got a ticket because hit and ran. I hit into the front car when I left work last week. I was super tired and my mind was not clear. I was so scared after the accident.,"I had to flee the scene because I was scared and didn't know what to do. If I had stayed, things would have been much worse for me. It's better that no one knows it was me.",0,"Running away from problems might seem easy now, but it can really backfire with worse legal trouble and feeling guilty. It's totally normal to feel scared and all mixed up in these situations. But acting out of fear isn't the way to go. Owning up to what I did is super important.",0,"I was really scared and unsure when I fled the accident scene, but I know now that wasn't the right move. Facing tough stuff head-on is key, even when it's scary. We all mess up, but it's how we deal with those mistakes that really shows who we are. I can't undo what happened, but I can definitely make things right and learn from it.",0
Managing legal issue,35_legal, I was recently given a speeding ticket. I was driving above the speed limit on my way to an important meeting. I feel extremely frustrated and angry at myself for not being more careful.,I am a careless person.,1,"Receiving a speeding ticket is definitely an inconvenience and a financial burden, it's not the end of the world. It's a common mistake that many people make. ",0,"So, I got a speeding ticket. Bummer, right? But, it's a good wake-up call to drive safer. We all slip up sometimes, and this ticket isn't the whole story of my driving or who I am.",0
Managing legal issue,35_legal,"I recently found out I'm being sued for a minor car accident that happened a few months ago. I thought the issue was resolved since there was minimal damage and no one was hurt. Now, I'm facing a legal battle that I feel completely unprepared for.",This lawsuit is going to ruin my life. I'm going to lose everything I have.,1,"Yeah, getting sued sounds scary, but it's not always as bad as it seems. A lot of times, these legal issues, especially the small ones, get sorted out without turning everything upside down.",0,"Dealing with a lawsuit can be tough, can't it? But hey, it's something we can handle. I'm thinking of getting ahead of this by talking to a lawyer. They can help me figure out what I can do and what my rights are. What do you think?",
Maintaining personal hygiene,36_hygiene,"Recently, I've been neglecting my personal hygiene. I skip showers, don't change clothes often, and sometimes forget to brush my teeth. I've been feeling down and unmotivated, and it just feels like too much effort to take care of myself.","What's the point in keeping up with my hygiene? It doesn't make a difference, I am not meeting anyone, and I don't have the energy for it anyway. ",0,"While it's understandable to feel unmotivated, especially when I'm feeling down, neglecting personal hygiene can actually contribute to those negative feelings.",0,"Though it's a challenge to get started, taking care of my hygiene is a form of self-respect and self-care. ",0
Maintaining personal hygiene,36_hygiene,"Lately, during the winter time I've been really slack with my personal hygiene. I sometimes go a few days without showering and often wear the same clothes repeatedly. It is cold after shower.","Why bother with hygiene routines when I'm this tired and busy? You know, it's winter time. I am not getting sweaty and smelly.",0,Emm. I notice that I start to have more acnes on my back and on my face. Probably it is because I am not taking shower that often.,0,I realize now that my personal hygiene affects more than just how I smell or sweat. The increase in acne is a clear sign that my skin needs more consistent care. Maintaining good hygiene is also related to my health and other stuffs.,0
Maintaining personal hygiene,36_hygiene,"For the past few weeks, I've been working from home and I find myself staying in pajamas all day. I haven't been combing my hair or even washing my face regularly. It's just me at home and I don't need to turn on my camera during my Zoom meetings, so I keep thinking, why bother?",Why should I bother getting dressed or grooming when I'm not going out or seeing anyone? It feels like a waste of time and effort.,0,I feel comfortable this way. I don't want to waste my time on my apperance. I just want to spend my time on more things I care.,1,I don't care my apperance if I just stay at home. It doesn't matter.,1
Doing exercises and sports,37_exercise,I haven't really exercised in weeks. I've been super busy with work and just can't find the time. Every evening I just feel too drained to even think about working out.,"What's the point of exercising now? I'm probably too out of shape to get back into it, and with my schedule, it seems impossible to find the time.",0,"Okay, let's think about this for a second. It's easy to feel like too busy or too tired, but some exercise doesn't have to be a huge commitment. Maybe I can start to walk to work instead of driving?",0,"So, maybe I can approach this differently. I can start with something easy. Like walk or take stairs instead of driving to everywhere and taking elevators all the time.",0
Doing exercises and sports,37_exercise,I don't exercise for a while. I am too fat. I feel awkward to go to the gym.,"I'm too fat to go to the gym. Everyone will be staring at me and judging me. It's embarrassing, and I just don't fit in with all those fit people there.",0,Maybe I can find some weight-loss classes? These classes may prepared for overweight clients like me.,0,Going to regular gyms makes me feel uncomfortable and self-concious. But I can try to find a community that fits me better.,0
Doing exercises and sports,37_exercise,"Right, so I haven't exercised in months. I got really busy with work and just fell out of my routine. Now, when I think about starting again, it just feels overwhelming. I used to be so good at sticking to my workout schedule.","Since I haven't exercised in so long, I must have lost all my progress. It's probably pointless to start again because I'll never get back to where I was.",1,It's not all-or-nothing – even a little exercise is better than none. I can start with some small goals instead of directly achieving something big. ,0,"So, how about this: Starting to exercise again, even if it's just a little bit at a time, is still a step in the right direction. It's not about getting back to some past level immediately; it's about building healthy habits again.",0
